date,OT,dgs1mo,dbaa,t5yifr
2021-10-19,15129.08984,0.06,3.37,2.37
2021-10-20,15121.67969,0.06,3.4,2.37
2021-10-21,15215.7002,0.06,3.42,2.34
2021-10-22,15090.2002,0.05,3.38,2.37
2021-10-25,15226.70996,0.07,3.37,2.37
2021-10-26,15235.70996,0.06,3.34,2.39
2021-10-27,15235.83984,0.06,3.23,2.34
2021-10-28,15448.12012,0.06,3.26,2.24
2021-10-29,15498.38965,0.06,3.24,2.13
2021-11-01,15595.91992,0.05,3.27,2.14
2021-11-02,15649.59961,0.05,3.27,2.18
2021-11-03,15811.58008,0.05,3.3,2.2
2021-11-04,15940.30957,0.05,3.26,2.24
2021-11-05,15971.58984,0.05,3.18,2.21
2021-11-08,15982.36035,0.04,3.18,2.3
2021-11-09,15886.54004,0.04,3.13,2.3
2021-11-10,15622.70996,0.06,3.22,2.32
2021-11-12,15860.95996,0.05,3.27,2.35
2021-11-15,15853.84961,0.06,3.33,2.35
2021-11-16,15973.86035,0.06,3.35,2.29
2021-11-17,15921.57031,0.06,3.34,2.26
2021-11-18,15993.70996,0.12,3.32,2.35
2021-11-19,16057.44043,0.11,3.27,2.28
2021-11-22,15854.75977,0.07,3.34,2.24
2021-11-23,15775.13965,0.06,3.4,2.24
2021-11-24,15845.23047,0.14,3.36,2.19
2021-11-26,15491.66016,0.11,3.3,2.18
2021-11-29,15782.83008,0.07,3.33,2.17
2021-11-30,15537.69043,0.11,3.24,2.2
2021-12-01,15254.04981,0.09,3.24,2.18
2021-12-02,15381.32031,0.05,3.24,2.21
2021-12-03,15085.46973,0.04,3.16,2.14
2021-12-06,15225.15039,0.05,3.22,2.09
2021-12-07,15686.91992,0.05,3.23,2.1
2021-12-08,15786.99023,0.04,3.31,2.16
2021-12-09,15517.37012,0.03,3.3,2.14
2021-12-10,15630.59961,0.03,3.31,2.12
2021-12-13,15413.28027,0.01,3.24,2.07
2021-12-14,15237.63965,0.02,3.26,2.08
2021-12-15,15565.58008,0.03,3.3,2.11
2021-12-16,15180.42969,0.04,3.31,2.14
2021-12-17,15169.67969,0.03,3.28,2.11
